55, 57, 6.08
23, 4, 9.83
69, 65, 9.17
76, 43, 5.66
10, 52, 6.05
50, 70, 9.53
8, 64, 8.21
69, 22, 3.49
68, 2, 6.32
37, 33, 3.41
65, 79, 8.68
43, 76, 6.51
48, 72, 9.77
24, 72, 3.54
61, 45, 2.85
49, 25, 6.31
72, 20, 1.61
56, 67, 9.38
45, 12, 3.66
73, 46, 3.04
29, 43, 3.14
32, 60, 3.18
32, 69, 8.54
35, 65, 7.57
9, 28, 9.99
1, 8, 1.55
21, 2, 7.65
15, 16, 7.18
62, 3, 5.69
2, 25, 9.2
21, 75, 7.92
47, 66, 5.21
9, 49, 3.76
8, 59, 7.31
74, 59, 9.25
28, 71, 8.45
5, 78, 7.26
9, 76, 5.92
13, 58, 4.09
78, 38, 7.76
43, 16, 7.23
41, 19, 9.09
43, 25, 1.01
62, 5, 5.15
10, 31, 3.38
27, 56, 1.2
55, 72, 5.48
44, 51, 3.73
23, 13, 8.64
35, 5, 8.64
3, 37, 3.75
33, 72, 9.49
35, 69, 1.44
32, 27, 9.96
33, 26, 8.33
18, 7, 6.77
2, 20, 5.3
34, 55, 9.03
27, 49, 1.3
20, 28, 6.49
17, 11, 1.05
26, 41, 6.22
20, 37, 7.69
70, 20, 5.8
9, 16, 1.07
26, 4, 2.62
35, 80, 4.63
36, 54, 8.73
53, 70, 2.92
46, 22, 6.04
34, 75, 3.28
2, 49, 9.52
29, 33, 1.57
38, 45, 2.96
6, 40, 4.27
12, 26, 3.2
69, 23, 7.6
50, 74, 4.14
61, 19, 8.66
15, 61, 5.79
24, 9, 5.57
18, 57, 4.43
16, 5, 2.18
28, 34, 8.83
8, 31, 5.04
22, 48, 6.49
19, 31, 5.14
56, 59, 8.78
22, 2, 1.03
21, 77, 6.21
35, 39, 9.4
13, 39, 9.17
32, 52, 2.82
61, 3, 2.85
60, 77, 1.62
58, 25, 6.15
59, 24, 6.49
25, 56, 6.08
79, 2, 7.22
62, 50, 6.11
67, 46, 3.98
66, 20, 7.37
68, 17, 7.58
51, 31, 7.58
3, 46, 4.55
46, 26, 9.05
47, 58, 7.63
48, 23, 3.16
62, 77, 9.35
74, 51, 1.54
64, 22, 1.89
17, 20, 5.4
50, 32, 5.4
8, 35, 9.45
39, 68, 9.48
34, 63, 8.98
74, 44, 7.41
70, 1, 3.53
23, 78, 5.88
49, 42, 8.11
62, 27, 6.83
17, 77, 2.05
18, 54, 1.18
71, 57, 4.75
57, 12, 8.76
29, 60, 3.93
54, 4, 6.49
29, 14, 7.42
67, 62, 2.45
40, 23, 5.58
51, 53, 6.94
62, 29, 4.09
7, 38, 4.42
44, 57, 7.89
42, 5, 4.03
44, 11, 3.47
48, 57, 9.47
68, 5, 9.06
14, 34, 1.85
16, 68, 2.98
23, 55, 4.58
5, 49, 3.26
58, 52, 9.46
21, 12, 6.44
24, 29, 1.68
6, 32, 2.57
67, 18, 6.66
34, 24, 6.06
73, 40, 6.93
50, 75, 3.37
25, 9, 4.4
2, 71, 5.1
43, 17, 6.97
21, 78, 1.65
80, 8, 3.99
9, 6, 9.6
20, 36, 9.56
12, 32, 4.27
46, 9, 7.85
76, 77, 8.17
